case_id,activity,timestamp,resource
case-0012,Decide,2024-03-11T11:48:00,Ellen
case-0012,Pay Compensation,2024-03-11T12:54:00,Alice
case-0012,Register Request,2024-03-11T13:22:00,Alice
case-0012,Reinitiate Request,2024-03-11T14:30:00,Alice
case-0012,Examine Thoroughly,2024-03-11T14:48:00,Carol
case-0012,Examine Casually,2024-03-11T15:16:00,Ellen
case-0013,Reinitiate Request,2024-03-08T08:00:00,Dave
case-0013,Examine Casually,2024-03-08T11:36:00,Dave
case-0013,Decide,2024-03-08T12:34:00,Alice
case-0013,Pay Compensation,2024-03-08T13:08:00,Dave
case-0013,Check Ticket,2024-03-08T14:48:00,Dave
case-0014,Register Request,2024-03-24T08:00:00,Carol
case-0014,Reject Request,2024-03-24T11:34:00,Alice
case-0014,Pay Compensation,2024-03-24T12:47:00,Bob
case-0014,Reinitiate Request,2024-03-24T13:45:00,Ellen
case-0014,Decide,2024-03-24T15:49:00,Bob
case-0014,Examine Casually,2024-03-24T17:47:00,Bob
case-0015,Check Ticket,2024-03-21T08:00:00,Ellen
case-0015,Pay Compensation,2024-03-21T11:44:00,Alice
case-0015,Register Request,2024-03-21T12:17:00,Bob
case-0015,Reinitiate Request,2024-03-21T13:09:00,Dave
case-0015,Reject Request,2024-03-21T15:23:00,Dave
case-0015,Decide,2024-03-21T16:27:00,Dave
case-0016,Pay Compensation,2024-03-30T08:00:00,Dave
case-0016,Register Request,2024-03-30T09:23:00,Dave
case-0016,Check Ticket,2024-03-30T12:31:00,Ellen
case-0016,Examine Thoroughly,2024-03-30T15:30:00,Dave
case-0017,Decide,2024-03-24T08:00:00,Ellen
case-0017,Examine Casually,2024-03-24T08:25:00,Carol
case-0017,Register Request,2024-03-24T08:49:00,Alice
case-0017,Reinitiate Request,2024-03-24T11:28:00,Dave
case-0018,Examine Thoroughly,2024-03-22T08:00:00,Bob
case-0018,Register Request,2024-03-22T09:53:00,Alice
case-0018,Decide,2024-03-22T13:50:00,Ellen
case-0018,Pay Compensation,2024-03-22T15:03:00,Ellen
case-0018,Examine Casually,2024-03-22T17:45:00,Alice
case-0018,Reject Request,2024-03-22T20:33:00,Alice
case-0018,Reinitiate Request,2024-03-22T22:30:00,Ellen
case-0019,Reject Request,2024-03-05T08:00:00,Carol
case-0019,Examine Thoroughly,2024-03-05T10:07:00,Carol
case-0019,Examine Casually,2024-03-05T13:29:00,Alice
case-0019,Pay Compensation,2024-03-05T13:41:00,Dave
case-0019,Reinitiate Request,2024-03-05T16:30:00,Ellen
case-0019,Check Ticket,2024-03-05T17:05:00,Alice
case-0019,Decide,2024-03-05T19:32:00,Bob
case-0020,Examine Thoroughly,2024-03-10T08:00:00,Bob
case-0020,Reinitiate Request,2024-03-10T10:02:00,Ellen
case-0020,Register Request,2024-03-10T13:12:00,Carol
case-0020,Examine Casually,2024-03-10T15:58:00,Ellen
case-0020,Pay Compensation,2024-03-10T16:10:00,Ellen
